Generated Pairs (packet, event):
1 2 CSAA06 S8CST428 D
1 2 CSAA06 S8CST428 C
1 2 CSAA06 S8CST404 D
1 2 CSAA06 S8CST404 C
1 2 CSAA06 S8CST404 D
1 2 CSAA06 S8CST404 C
1 2 CSAA07 S8CST402 D
1 2 CSAA07 S8CST402 C
1 2 CSAA07 S8CST444 D
1 2 CSAA07 S8CST444 C
1 2 CSAA07 S8CST446 D
1 2 CSAA07 S8CST446 C
1 2 CSAA07 S8CST428 D
1 2 CSAA07 S8CST428 C
1 2 CSAA07 S8CST404 D
1 2 CSAA07 S8CST404 C
1 2 CSAA07 S8CST404 D
1 2 CSAA07 S8CST404 C
1 2 CSAA08 S8CST402 D
1 2 CSAA08 S8CST402 C
1 2 CSAA08 S8CST444 D
1 2 CSAA08 S8CST444 C
1 2 CSAA08 S8CST446 D
1 2 CSAA08 S8CST446 C
1 2 CSAA08 S8CST428 D
1 2 CSAA08 S8CST428 C
1 2 CSAA08 S8CST404 D
1 2 CSAA08 S8CST404 C
1 2 CSAA08 S8CST404 D
1 2 CSAA08 S8CST404 C
1 2 CSAA09 S8CST402 D
1 2 CSAA09 S8CST402 C
1 2 CSAA09 S8CST444 D
1 2 CSAA09 S8CST444 C
1 2 CSAA09 S8CST446 D
1 2 CSAA09 S8CST446 C
1 2 CSAA09 S8CST428 D
1 2 CSAA09 S8CST428 C
1 2 CSAA09 S8CST404 D
1 2 CSAA09 S8CST404 C
1 2 CSAA09 S8CST404 D
1 2 CSAA09 S8CST404 C
1 2 CSAA10 S8CST402 D
1 2 CSAA10 S8CST402 C
1 2 CSAA10 S8CST444 D
1 2 CSAA10 S8CST444 C
1 2 CSAA10 S8CST446 D
1 2 CSAA10 S8CST446 C
1 2 CSAA10 S8CST428 D
1 2 CSAA10 S8CST428 C
1 2 CSAA10 S8CST404 D
1 2 CSAA10 S8CST404 C
1 2 CSAA10 S8CST404 D
1 2 CSAA10 S8CST404 C
2 1 CSPP01 S8CST402 D
2 1 CSPP01 S8CST402 C
2 1 CSPP01 S8CST444 D
2 1 CSPP01 S8CST444 C
2 1 CSPP01 S8CST446 D
2 1 CSPP01 S8CST446 C
2 1 CSPP01 S8CST428 D
2 1 CSPP01 S8CST428 C
2 1 CSPP01 S8CST404 D
2 1 CSPP01 S8CST404 C
2 1 CSPP01 S8CST404 D
2 1 CSPP01 S8CST404 C
2 1 CSAP01 S8CST402 D
2 1 CSAP01 S8CST402 C
2 1 CSAP01 S8CST444 D
2 1 CSAP01 S8CST444 C
2 1 CSAP01 S8CST446 D
